Origem,Origem (IATA),Origem (ICAO),Saida,Chegada,Destino,Destino (IATA),Destino (ICAO),Periodo,Frequencia
Congonhas,CGH,SBSP,14:50,16:05,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,16:20,17:35,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,17:50,19:10,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,19:05,20:25,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Domingo
Congonhas,CGH,SBSP,09:15,12:45,Fortaleza,FOR,SBFZ,01/maio - 31/maio,Sábado
Congonhas,CGH,SBSP,10:00,13:30,Fortaleza,FOR,SBFZ,01/maio - 31/maio,Sexta Domingo
Congonhas,CGH,SBSP,12:40,16:10,Fortaleza,FOR,SBFZ,01/maio - 31/maio,Sábado
Congonhas,CGH,SBSP,22:00,01:30,Fortaleza,FOR,SBFZ,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,06:25,07:30,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta
Congonhas,CGH,SBSP,06:45,07:50,Galeão,GIG,SBGL,01/maio - 31/maio,Sábado Domingo
Congonhas,CGH,SBSP,10:55,12:05,Galeão,GIG,SBGL,01/maio - 31/maio,Sábado Domingo
Congonhas,CGH,SBSP,11:15,12:25,Galeão,GIG,SBGL,01/maio - 31/maio,Terça
Congonhas,CGH,SBSP,14:25,15:35,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Domingo
Congonhas,CGH,SBSP,18:15,19:35,Galeão,GIG,SBGL,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,18:30,19:50,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta
Congonhas,CGH,SBSP,18:35,19:50,Galeão,GIG,SBGL,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,22:20,23:35,Galeão,GIG,SBGL,01/maio - 31/maio,Domingo
Congonhas,CGH,SBSP,06:55,08:40,Goiânia,GYN,SBGO,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,09:30,11:15,Goiânia,GYN,SBGO,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,14:30,16:15,Goiânia,GYN,SBGO,01/maio - 31/maio,Sexta
Congonhas,CGH,SBSP,15:35,17:20,Goiânia,GYN,SBGO,01/maio - 31/maio,Sábado Domingo
Congonhas,CGH,SBSP,16:25,18:10,Goiânia,GYN,SBGO,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,CGH,SBSP,21:15,22:55,Goiânia,GYN,SBGO,01/maio - 31/maio,Sexta
