is_best,cia,departure,arrival,duration,stops,price,origem (IATA),origem (ICAO),origem,destino (IATA),destino (ICAO),destino,distancia
True,Gol,"5:15 PM on Fri, Sep 19","8:00 PM on Fri, Sep 19",2 hr 45 min,0,1628,NAT,SBSG,Natal,BSB,SBBR,Brasília,1768.55
True,Gol,"2:40 PM on Fri, Sep 19","5:10 PM on Fri, Sep 19",2 hr 30 min,0,1125,CKS,SBCJ,Carajás,CNF,SBCF,Confins,1630.87
True,Gol,"1:20 PM on Fri, Sep 19","2:55 PM on Fri, Sep 19",1 hr 35 min,0,999,CXJ,SBCX,Caxias do Sul,CGH,SBSP,Congonhas,764.79
True,Gol,"11:33 PM on Fri, Sep 19","7:05 AM on Sat, Sep 20",5 hr 32 min,0,1285,BOG,SKBO,Bogotá,BSB,SBBR,Brasília,3677.55
True,Gol,"12:25 PM on Fri, Sep 19","1:50 PM on Fri, Sep 19",1 hr 25 min,0,534,CNF,SBCF,Confins,BPS,SBPS,Porto Seguro,626.23
True,Gol,"3:35 AM on Fri, Sep 19","7:30 AM on Fri, Sep 19",2 hr 55 min,0,2051,PVH,SBPV,Porto Velho,BSB,SBBR,Brasília,1908.91
True,Gol,"9:45 AM on Fri, Sep 19","10:40 AM on Fri, Sep 19",55 min,0,1178,BSB,SBBR,Brasília,GYN,SBGO,Goiânia,163.0
True,Gol,"5:05 PM on Fri, Sep 19","6:50 PM on Fri, Sep 19",1 hr 45 min,0,504,SSA,SBSV,Salvador,CNF,SBCF,Confins,957.32
True,Gol,"1:45 PM on Fri, Sep 19","6:40 PM on Fri, Sep 19",3 hr 55 min,0,2012,MAO,SBEG,Manaus,GRU,SBGR,Guarulhos,2688.87
True,Gol,"1:05 PM on Fri, Sep 19","3:35 PM on Fri, Sep 19",2 hr 30 min,0,2133,MVD,SUMU,Montevidéu,GRU,SBGR,Guarulhos,1566.76
True,Gol,"11:40 AM on Fri, Sep 19","1:55 PM on Fri, Sep 19",2 hr 15 min,0,578,SLZ,SBSL,São Luís,SSA,SBSV,Salvador,1314.33
True,Gol,"5:55 PM on Fri, Sep 19","7:30 PM on Fri, Sep 19",1 hr 35 min,0,95,VCP,SBKP,Viracopos,BSB,SBBR,Brasília,794.44
True,Gol,"9:20 PM on Fri, Sep 19","11:45 PM on Fri, Sep 19",2 hr 25 min,0,798,BSB,SBBR,Brasília,SLZ,SBSL,São Luís,1523.63
True,Gol,"11:35 PM on Fri, Sep 19","1:25 AM on Sat, Sep 20",1 hr 50 min,0,402,SSA,SBSV,Salvador,FOR,SBFZ,Fortaleza,1010.35
True,Gol,"2:20 PM on Fri, Sep 19","5:10 PM on Fri, Sep 19",2 hr 50 min,0,1586,MDZ,SAME,Mendoza,GRU,SBGR,Guarulhos,2420.43
True,Gol,"2:55 PM on Fri, Sep 19","3:55 PM on Fri, Sep 19",1 hr,0,333,MCP,SBMQ,Macapá,BEL,SBBE,Belém,329.24
True,Gol,"1:05 PM on Fri, Sep 19","4:45 PM on Fri, Sep 19",3 hr 40 min,0,409,GRU,SBGR,Guarulhos,BEL,SBBE,Belém,2449.25
True,Gol,"10:25 PM on Fri, Sep 19","11:55 PM on Fri, Sep 19",1 hr 30 min,0,1072,AEP,SABE,Aeroparque,POA,SBPA,Porto Alegre,849.38
True,Gol,"10:50 PM on Fri, Sep 19","11:55 PM on Fri, Sep 19",1 hr 5 min,0,330,CWB,SBCT,Curitiba,MGF,SBMG,Maringá,366.98
